"20MICRONS","20","20 Microns","20 Microns Limited"
"CROMPTON","Crompton","Crompton Greaves","Crompton Greaves Consumer","Crompton Greaves Consumer Electricals","Crompton Greaves Consumer Electricals Limited"
"CTE","Cambridge","Cambridge Technology","Cambridge Technology Enterprises","Cambridge Technology Enterprises Limited"
"CUB","City","City Union","City Union Bank","City Union Bank Limited"
"CUBEXTUB","Cubex","Cubex Tubings","Cubex Tubings Limited"
"CUMMINSIND","Cummins","Cummins India","Cummins India Limited"
"CUPID","Cupid","Cupid Limited"
"CURATECH","Cura","Cura Technologies","Cura Technologies Limited"
"CYBERMEDIA","Cyber","Cyber Media","Cyber Media India","Cyber Media India Limited"
"CYBERTECH","Cybertech","Cybertech Systems","Cybertech Systems And","Cybertech Systems And Software","Cybertech Systems And Software Limited"
"CYIENT","Cyient","Cyient Limited"
"DAAWAT","LT","LT Foods","LT Foods Limited"
"DABUR","Dabur","Dabur India","Dabur India Limited"
"DALMIABHA","Dalmia","Dalmia Bharat","Dalmia Bharat Limited"
"DALMIASUG","Dalmia","Dalmia Bharat","Dalmia Bharat Sugar","Dalmia Bharat Sugar and","Dalmia Bharat Sugar and Industries","Dalmia Bharat Sugar and Industries Limited"
"DAMODARIND","Damodar","Damodar Industries","Damodar Industries Limited"
"DATAMATICS","Datamatics","Datamatics Global","Datamatics Global Services","Datamatics Global Services Limited"
"DBCORP","D.B.Corp","D.B.Corp Limited"
"DBL","Dilip","Dilip Buildcon","Dilip Buildcon Limited"
"DBREALTY","D","D B","D B Realty","D B Realty Limited"
"DBSTOCKBRO","DB","DB International","DB International Stock","DB International Stock Brokers","DB International Stock Brokers Limited"
"DCBBANK","DCB","DCB BANK","DCB BANK LIMITED"
"DCM","DCM","DCM Limited"
"DCMSHRIRAM","DCM","DCM Shriram","DCM Shriram Limited"
"DCW","DCW","DCW Limited"
"DECCANCE","Deccan","Deccan Cements","Deccan Cements Limited"
"DEEPAKFERT","Deepak","Deepak Fertilizers","Deepak Fertilizers and","Deepak Fertilizers and Petrochemicals","Deepak Fertilizers and Petrochemicals Corporation","Deepak Fertilizers and Petrochemicals Corporation Limited"
"DEEPAKNTR","Deepak","Deepak Nitrite","Deepak Nitrite Limited"
"DEEPIND","Deep","Deep Industries","Deep Industries Limited"
"DELTACORP","Delta","Delta Corp","Delta Corp Limited"
"DELTAMAGNT","Delta","Delta Magnets","Delta Magnets Limited"
"DEN","Den","Den Networks","Den Networks Limited"
"DENABANK","Dena","Dena Bank"
"DENORA","De","De Nora","De Nora India","De Nora India Limited"
"DFMFOODS","DFM","DFM Foods","DFM Foods Limited"
"DHAMPURSUG","Dhampur","Dhampur Sugar","Dhampur Sugar Mills","Dhampur Sugar Mills Limited"
"DHANBANK","Dhanlaxmi","Dhanlaxmi Bank","Dhanlaxmi Bank Limited"
"DHANUKA","Dhanuka","Dhanuka Agritech","Dhanuka Agritech Limited"
"DHARSUGAR","Dharani","Dharani Sugars","Dharani Sugars &","Dharani Sugars & Chemicals","Dharani Sugars & Chemicals Limited"
"DHFL","Dewan","Dewan Housing","Dewan Housing Finance","Dewan Housing Finance Corporation","Dewan Housing Finance Corporation Limited"
"DHUNINV","Dhunseri","Dhunseri Investments","Dhunseri Investments Limited"
"DIAPOWER","Diamond","Diamond Power","Diamond Power Infra","Diamond Power Infra Ltd"
"DICIND","DIC","DIC India","DIC India Limited"
"DIGJAMLTD","Digjam","Digjam Limited"
"DISHMAN","Dishman","Dishman Pharmaceuticals","Dishman Pharmaceuticals and","Dishman Pharmaceuticals and Chemicals","Dishman Pharmaceuticals and Chemicals Limited"
"DISHTV","Dish","Dish TV","Dish TV India","Dish TV India Limited"
"DIVISLAB","Divi's","Divi's Laboratories","Divi's Laboratories Limited"
"DLF","DLF","DLF Limited"
"DLINKINDIA","D-Link","D-Link India","D-Link India Limited"
"DOLPHINOFF","Dolphin","Dolphin Offshore","Dolphin Offshore Enterprises","Dolphin Offshore Enterprises India","Dolphin Offshore Enterprises India Limited"
"DONEAR","Donear","Donear Industries","Donear Industries Limited"
"DPL","Dhunseri","Dhunseri Petrochem","Dhunseri Petrochem Limited"
"DPSCLTD","DPSC","DPSC Limited"
"DQE","DQ","DQ Entertainment","DQ Entertainment International","DQ Entertainment International Limited"
"DREDGECORP","Dredging","Dredging Corporation","Dredging Corporation of","Dredging Corporation of India","Dredging Corporation of India Limited"
"DRREDDY","Dr.","Dr. Reddy's","Dr. Reddy's Laboratories","Dr. Reddy's Laboratories Limited"
